address,type,symbol
44b0f2,function,?PreTranslateMessage@CWinThread@@UAEHPAUtagMSG@@@Z
44b172,function,?ProcessWndProcException@CWinThread@@UAEJPAVCException@@PBUtagMSG@@@Z
44b226,function,?ProcessMessageFilter@CWinThread@@UAEHHPAUtagMSG@@@Z
44b3b1,function,?GetMainWnd@CWinThread@@UAEPAVCWnd@@XZ
44b3bc,function,?PumpMessage@CWinThread@@UAEHXZ
44b403,function,?CancelToolTips@CControlBar@@SAXXZ
44b444,function,??0CCmdTarget@@QAE@XZ
44b4b4,function,??1CCmdTarget@@UAE@XZ
44b652,function,?OnCmdMsg@CCmdTarget@@UAEHIHPAXPAUAFX_CMDHANDLERINFO@@@Z
44b6dd,function,?BeginWaitCursor@CCmdTarget@@QAEXXZ
44b6f0,function,?EndWaitCursor@CCmdTarget@@QAEXXZ
44b703,function,?GetMessageMap@CCmdTarget@@MBEPBUAFX_MSGMAP@@XZ
44b709,function,?GetDispatchMap@CCmdTarget@@MBEPBUAFX_DISPMAP@@XZ
44b70f,function,?GetInterfaceMap@CCmdTarget@@MBEPBUAFX_INTERFACEMAP@@XZ
44b715,function,?OnFinalRelease@CCmdTarget@@UAEXXZ
44b721,function,?OnCreateAggregates@CCmdTarget@@UAEHXZ
44b727,function,?GetInterfaceHook@CCmdTarget@@UAEPAUIUnknown@@PBX@Z
44b962,function,?Init@CString@@IAEXXZ
44b971,function,?SafeDelete@CString@@KAXPAD@Z
44b986,function,??0CString@@QAE@XZ
44b9ac,function,?AllocBuffer@CString@@IAEXH@Z
44b9de,function,?Empty@CString@@QAEXXZ
44b9f4,function,??1CString@@QAE@XZ
44baa6,function,?AssignCopy@CString@@IAEXHPBD@Z
44bdef,function,?LoadStringA@CString@@QAEHI@Z
44be30,function,?AfxLoadString@@YGHIPAD@Z
44befb,function,??0CWnd@@QAE@XZ
44c244,function,?AfxCallWndProc@@YGJPAVCWnd@@PAUHWND__@@IIJ@Z
44c392,function,?Default@CWnd@@IAEJXZ
44c40a,function,?DeleteTempMap@CWnd@@SGXXZ
44c420,function,?FromHandle@CWnd@@SGPAV1@PAUHWND__@@@Z
44c438,function,?FromHandlePermanent@CWnd@@SGPAV1@PAUHWND__@@@Z
44c49c,function,?Detach@CWnd@@QAEPAUHWND__@@XZ
44c96c,function,?AfxHookWindowCreate@@YGXPAVCWnd@@@Z
44c98a,function,?AfxUnhookWindowCreate@@YGHXZ
44c9bd,function,?CreateEx@CWnd@@QAEHKPBD0KHHHHPAUHWND__@@PAUHMENU__@@PAX@Z
44ca7b,function,?PreCreateWindow@CWnd@@UAEHAAUtagCREATESTRUCTA@@@Z
44ca94,function,?Create@CWnd@@UAEHPBD0KABUtagRECT@@PAV1@IPAUCCreateContext@@@Z
44cae4,function,??1CWnd@@UAE@XZ
44cb66,function,?OnNcDestroy@CWnd@@IAEXXZ
44cbcc,function,?PostNcDestroy@CWnd@@MAEXXZ
44cbcd,function,?OnFinalRelease@CWnd@@UAEXXZ
44cbde,function,?DestroyWindow@CWnd@@UAEHXZ
44cc2a,function,?DefWindowProcA@CWnd@@MAEJIIJ@Z
44cc70,function,?GetSuperWndProcAddr@CWnd@@MAEPAP6GJPAUHWND__@@IIJ@ZXZ
44cc74,function,?PreTranslateMessage@CWnd@@UAEHPAUtagMSG@@@Z
44ccae,function,?OnDrawItem@CWnd@@IAEXHPAUtagDRAWITEMSTRUCT@@@Z
44ccf3,function,?OnCompareItem@CWnd@@IAEHHPAUtagCOMPAREITEMSTRUCT@@@Z
44cd2d,function,?OnDeleteItem@CWnd@@IAEXHPAUtagDELETEITEMSTRUCT@@@Z
44ce18,function,?OnMeasureItem@CWnd@@IAEXHPAUtagMEASUREITEMSTRUCT@@@Z
44cf4e,function,?OnNTCtlColor@CWnd@@IAEJIJ@Z
44cf8a,function,?WinHelpA@CWnd@@UAEXKI@Z
44d041,function,?GetMessageMap@CWnd@@MBEPBUAFX_MSGMAP@@XZ
44d047,function,?AfxFindMessageEntry@@YGPBUAFX_MSGMAP_ENTRY@@PBU1@III@Z
44d087,function,?WindowProc@CWnd@@MAEJIIJ@Z
44d6a5,function,??0CTestCmdUI@@QAE@XZ
44d6d8,function,?OnCommand@CWnd@@MAEHIJ@Z
44d778,function,?OnNotify@CWnd@@MAEHIJPAJ@Z
44d7fc,function,?GetParentFrame@CWnd@@QBEPAVCFrameWnd@@XZ
44d83f,function,?AfxGetParentOwner@@YGPAUHWND__@@PAU1@@Z
44d89a,function,?GetTopLevelParent@CWnd@@QBEPAV1@XZ
44d92b,function,?GetTopLevelFrame@CWnd@@QBEPAVCFrameWnd@@XZ
44d967,function,?GetDescendantWindow@CWnd@@SGPAV1@PAUHWND__@@HH@Z
44d9ea,function,?SendMessageToDescendants@CWnd@@SGXPAUHWND__@@IIJHH@Z
44da6c,function,?GetScrollBarCtrl@CWnd@@UBEPAVCScrollBar@@H@Z
44dc98,function,?CalcWindowRect@CWnd@@UAEXPAUtagRECT@@I@Z
44ddae,function,?WalkPreTranslateTree@CWnd@@SGHPAUHWND__@@PAUtagMSG@@@Z
44ddf9,function,?SendChildNotifyLastMsg@CWnd@@QAEHPAJ@Z
44de19,function,?OnChildNotify@CWnd@@MAEHIIJPAJ@Z
44de1e,function,?OnParentNotify@CWnd@@IAEXIJ@Z
44de55,function,?OnSysColorChange@CWnd@@IAEXXZ
44deb2,function,?OnWinIniChange@CWnd@@IAEXPBD@Z
44dedd,function,?OnDevModeChange@CWnd@@IAEXPAD@Z
44df29,function,?OnDisplayChange@CWnd@@IAEJIJ@Z
44df77,function,?OnHScroll@CWnd@@IAEXIIPAVCScrollBar@@@Z
44df98,function,?OnVScroll@CWnd@@IAEXIIPAVCScrollBar@@@Z
44dfb9,function,?OnCtlColor@CWnd@@IAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
44dfe5,function,?OnGrayCtlColor@CWnd@@QAEPAUHBRUSH__@@PAVCDC@@PAV1@I@Z
44e049,function,?GrayCtlColor@CWnd@@SGHPAUHDC__@@PAUHWND__@@IPAUHBRUSH__@@K@Z
44e0c7,function,?OnQuery3dControls@CWnd@@IAEJIJ@Z
44e0cf,function,?UpdateData@CWnd@@QAEHH@Z
44e1a8,function,??0CDataExchange@@QAE@PAVCWnd@@H@Z
44e38a,function,?ExecuteDlgInit@CWnd@@QAEHPBD@Z
44e55c,function,?PreTranslateInput@CWnd@@QAEHPAUtagMSG@@@Z
44e594,function,?IsFrameWnd@CWnd@@UBEHXZ
44e59d,function,?IsTracking@CFrameWnd@@QBEHXZ
44e61b,function,?DeleteTempMap@CMenu@@SGXXZ
44e631,function,?FromHandle@CMenu@@SGPAV1@PAUHMENU__@@@Z
44e649,function,?FromHandlePermanent@CMenu@@SGPAV1@PAUHMENU__@@@Z
44e70a,function,?GetRuntimeClass@CObject@@UBEPAUCRuntimeClass@@XZ
44e710,function,?IsKindOf@CObject@@QBEHPBUCRuntimeClass@@@Z
44e733,function,?CreateObject@CRuntimeClass@@QAEPAVCObject@@XZ
44e81f,function,??0AFX_CLASSINIT@@QAE@PAUCRuntimeClass@@@Z
44f44d,function,?AfxFullPath@@YGHPADPBD@Z
44f9a3,function,?FromHandle@CHandleMap@@QAEPAVCObject@@PAX@Z
44fa45,function,?RemoveHandle@CHandleMap@@QAEXPAX@Z
44fa51,function,?DeleteTemp@CHandleMap@@QAEXXZ
4502d9,function,?OnAppExit@CWinApp@@IAEXXZ
4502ec,function,?OpenDocumentFile@CWinApp@@UAEPAVCDocument@@PBD@Z
45070f,function,??0CDC@@QAE@XZ
4507d2,function,?DeleteTempMap@CDC@@SGXXZ
4507e8,function,?FromHandle@CDC@@SGPAV1@PAUHDC__@@@Z
45083c,function,?Detach@CDC@@QAEPAUHDC__@@XZ
45088a,function,??1CDC@@UAE@XZ
4508f7,function,?SetAttribDC@CDC@@UAEXPAUHDC__@@@Z
450901,function,?SetOutputDC@CDC@@UAEXPAUHDC__@@@Z
45090b,function,?ReleaseAttribDC@CDC@@UAEXXZ
450913,function,?ReleaseOutputDC@CDC@@UAEXXZ
45091b,function,?SaveDC@CDC@@UAEHXZ
45095e,function,?RestoreDC@CDC@@UAEHH@Z
4509bd,function,?SelectStockObject@CDC@@UAEPAVCGdiObject@@H@Z
450ac1,function,?SelectObject@CDC@@UAEPAVCFont@@PAV2@@Z
450b43,function,?SetBkColor@CDC@@UAEKK@Z
450bbf,function,?SetTextColor@CDC@@UAEKK@Z
450bfd,function,?SetMapMode@CDC@@UAEHH@Z
450c3b,function,?SetViewportOrg@CDC@@UAE?AVCPoint@@HH@Z
450c92,function,?OffsetViewportOrg@CDC@@UAE?AVCPoint@@HH@Z
450ce9,function,?SetViewportExt@CDC@@UAE?AVCSize@@HH@Z
450d40,function,?ScaleViewportExt@CDC@@UAE?AVCSize@@HHHH@Z
450da3,function,?SetWindowExt@CDC@@UAE?AVCSize@@HH@Z
450dfa,function,?ScaleWindowExt@CDC@@UAE?AVCSize@@HHHH@Z
450e5d,function,?GetClipBox@CDC@@UBEHPAUtagRECT@@@Z
4512e9,function,?DeleteTempMap@CGdiObject@@SGXXZ
4512ff,function,?FromHandle@CGdiObject@@SGPAV1@PAX@Z
451378,function,?DeleteObject@CGdiObject@@QAEHXZ
452e1a,function,?OnDestroy@CView@@IAEXXZ
453352,function,?AfxFindResource@@YGPAUHRSRC__@@PAUHINSTANCE__@@PBD1@Z
4544a4,function,?OnDDECommand@CWinApp@@UAEHPAD@Z
454531,function,?SaveAllModified@CWinApp@@UAEHXZ
4545ed,function,?DoWaitCursor@CWinApp@@UAEXH@Z
454654,function,?AfxGetSafeOwner@@YGPAUHWND__@@PAVCWnd@@PAPAU1@@Z
4546d7,function,?EnableModeless@CWinApp@@QAEXH@Z
454717,function,?DoMessageBox@CWinApp@@UAEHPBDII@Z
45481f,function,?AfxMessageBox@@YGHIII@Z
4548a7,function,?OnOpenRecentFile@CWinApp@@IAEHI@Z
4548cb,function,?AddToRecentFileList@CWinApp@@UAEXPBD@Z
454904,function,?OnUpdateRecentFileMenu@CWinApp@@IAEXPAVCCmdUI@@@Z
